epoch,lr-AdamW,step,train_loss,valid_loss
,0.001,0,,
0,,99,11.192682266235352,
0,,199,11.180644989013672,
0,,199,,11.026385307312012
,0.001,200,,
1,,299,10.767610549926758,
1,,399,10.536121368408203,
1,,399,,10.660490036010742
,0.001,400,,
2,,499,10.336291313171387,
2,,599,10.145317077636719,
2,,599,,10.294448852539062
,0.001,600,,
3,,699,9.770949363708496,
3,,799,9.524209976196289,
3,,799,,9.609354972839355
,0.001,800,,
4,,899,9.287636756896973,
4,,999,9.448163032531738,
4,,999,,9.31795597076416
,0.001,1000,,
5,,1099,9.430277824401855,
5,,1199,9.067459106445312,
5,,1199,,9.103991508483887
,0.001,1200,,
6,,1299,9.419954299926758,
6,,1399,9.020718574523926,
6,,1399,,9.05733585357666
,0.001,1400,,
7,,1499,8.897695541381836,
7,,1599,8.607393264770508,
7,,1599,,8.579843521118164
,0.001,1600,,
8,,1699,8.63907241821289,
8,,1799,8.606416702270508,
8,,1799,,8.685712814331055
,0.001,1800,,
9,,1899,8.669304847717285,
9,,1999,8.141976356506348,
9,,1999,,7.939290523529053
,0.001,2000,,
10,,2099,7.715071201324463,
10,,2199,8.078435897827148,
10,,2199,,7.849130153656006
,0.001,2200,,
11,,2299,8.268107414245605,
11,,2399,7.334588050842285,
11,,2399,,7.6053314208984375
,0.001,2400,,
12,,2499,7.5242695808410645,
12,,2599,7.2982401847839355,
12,,2599,,7.482673645019531
,0.001,2600,,
13,,2699,7.751278877258301,
13,,2799,7.489227771759033,
13,,2799,,7.796965599060059
,0.001,2800,,
14,,2899,7.527415752410889,
14,,2999,7.39854621887207,
14,,2999,,7.31191873550415
,0.001,3000,,
15,,3099,7.118706226348877,
15,,3199,7.378081798553467,
15,,3199,,7.1917901039123535
,0.001,3200,,
16,,3299,6.908236980438232,
16,,3399,7.070950984954834,
16,,3399,,7.440177917480469
,0.001,3400,,
17,,3499,7.087359428405762,
17,,3599,7.159402847290039,
17,,3599,,7.240908145904541
,0.001,3600,,
18,,3699,7.017985820770264,
18,,3799,6.8511576652526855,
18,,3799,,7.361330509185791
,0.001,3800,,
19,,3899,6.927350997924805,
19,,3999,6.67043399810791,
19,,3999,,6.645777702331543
,0.001,4000,,
20,,4099,6.525801181793213,
20,,4199,6.483186721801758,
20,,4199,,6.647580623626709
,0.001,4200,,
21,,4299,6.878488063812256,
21,,4399,6.744791507720947,
21,,4399,,6.932636737823486
,0.001,4400,,
22,,4499,6.310474395751953,
22,,4599,6.227475166320801,
22,,4599,,6.550064563751221
,0.001,4600,,
23,,4699,6.6453938484191895,
23,,4799,5.902976989746094,
23,,4799,,6.221940040588379
,0.001,4800,,
24,,4899,6.2662224769592285,
24,,4999,6.063924789428711,
24,,4999,,6.491433143615723
,0.001,5000,,
25,,5099,6.455661296844482,
25,,5199,6.039252281188965,
25,,5199,,6.541560173034668
,0.001,5200,,
26,,5299,6.029067516326904,
26,,5399,6.095825672149658,
26,,5399,,6.269123554229736
,0.001,5400,,
27,,5499,6.059103488922119,
27,,5599,6.185583114624023,
27,,5599,,6.547095775604248
,0.001,5600,,
28,,5699,5.742563247680664,
28,,5799,5.896472454071045,
28,,5799,,6.303492069244385
,0.001,5800,,
29,,5899,6.214881896972656,
29,,5999,6.284024715423584,
29,,5999,,6.877711296081543
,0.001,6000,,
30,,6099,6.032735824584961,
30,,6199,6.232455730438232,
30,,6199,,6.401684284210205
,0.001,6200,,
31,,6299,6.277005195617676,
31,,6399,5.928048610687256,
31,,6399,,6.11830997467041
,0.001,6400,,
32,,6499,5.943987846374512,
32,,6599,5.911581516265869,
32,,6599,,5.958833694458008
,0.001,6600,,
33,,6699,6.17750358581543,
33,,6799,5.811852931976318,
33,,6799,,5.874074935913086
,0.001,6800,,
34,,6899,5.8760986328125,
34,,6999,5.787050247192383,
34,,6999,,6.01957893371582
,0.001,7000,,
35,,7099,5.563824653625488,
35,,7199,5.71692419052124,
35,,7199,,5.978858947753906
,0.001,7200,,
36,,7299,5.860508918762207,
36,,7399,5.704773902893066,
36,,7399,,6.174322605133057
,0.001,7400,,
37,,7499,5.923028469085693,
37,,7599,5.792511940002441,
37,,7599,,5.921641826629639
,0.001,7600,,
38,,7699,5.587818145751953,
38,,7799,5.611520767211914,
38,,7799,,5.828157424926758
,0.001,7800,,
39,,7899,5.6872053146362305,
39,,7999,5.469784259796143,
39,,7999,,5.849303722381592
,0.001,8000,,
40,,8099,5.604923248291016,
40,,8199,5.790149688720703,
40,,8199,,5.85503625869751
,0.001,8200,,
41,,8299,5.770254135131836,
41,,8399,5.516209125518799,
41,,8399,,5.726948261260986
,0.001,8400,,
42,,8499,5.173933982849121,
42,,8599,5.510030746459961,
42,,8599,,5.905597686767578
,0.001,8600,,
43,,8699,5.490207195281982,
43,,8799,6.025595188140869,
43,,8799,,5.970600128173828
,0.001,8800,,
44,,8899,5.548840045928955,
44,,8999,5.09999942779541,
44,,8999,,5.712464332580566
,0.001,9000,,
